"item_id","bi_st","category","sku"
574769,Gross,Mobiles & Tablets,GFE_19_USBLEDLight
574770,Gross,Computing,oasis_Kingston-32GB-DTIG4
574771,Gross,Appliances,Geepas_GSB5420
574772,Valid,Men's Fashion,oasis_Oasis-064-36
574774,Valid,Men's Fashion,Fantastic_FT-48
574775,Gross,Appliances,AZD_Bingo-3-in-1-Blender-BX-395
574776,Gross,Women's Fashion,lala_UMS17-LCO-006A
574777,Net,Men's Fashion,mdeal_DMC-610-8
574779,Net,Men's Fashion,oasis_Oasis-061-36
574781,Gross,Appliances,AYS_Signature-30Wroomsizerefrigerator
574782,Gross,Appliances,AYS_Signature-30Wroomsizerefrigerator
574783,Gross,Men's Fashion,Mochika_M0001128-8
574785,Gross,Men's Fashion,Mochika_M0001128-10
574787,Gross,Appliances,AYS_Signature-30Wroomsizerefrigerator
574788,Gross,Mobiles & Tablets,cc_samsung_a320-black
574789,Valid,Computing,coolBell_CB-8001 -Grey
574790,Valid,Home & Living,FHM_ECLIPSE
574791,Valid,Mobiles & Tablets,BD_BIG DEAL_3
574792,Net,Men's Fashion,Head_811506-L
574794,Net,Men's Fashion,head_287006-NV
574795,Gross,Men's Fashion,ew_104
574796,Net,Men's Fashion,mytee_myteeL125
574797,Gross,Men's Fashion,Ctees_Barcelona
574798,Gross,Men's Fashion,Ctees_Barcelona
574799,Gross,Mobiles & Tablets,PTCL_EVO30GBof3GData
574800,Valid,Men's Fashion,kureshi_HSMF-Male-XXL
574802,Gross,Mobiles & Tablets,iGeek_VR BOX Version 2.0 - Virtual Reality Glasses - White
574803,Valid,Men's Fashion,Essentials_EDFH1032CGM-XL
574805,Valid,Men's Fashion,mytee_6-XL
574807,Valid,Men's Fashion,SC_5e-XL (46 to 48)
574809,Gross,Mobiles & Tablets,Infinix_HotSmartX5010Black
574810,Net,Women's Fashion,memsaab_E-H-U-Skin-38B
574812,Valid,Mobiles & Tablets,Space_Ear-Phone-WA-500
574813,Valid,Mobiles & Tablets,A4-Tech_Head-Phone-M-660-Bloody
574814,Net,Appliances,Fantastic_FT-1153
574815,Gross,Women's Fashion,sitara_210-B
574816,Gross,Women's Fashion,sitara_205-A
574817,Valid,Men's Fashion,Ctees_Barcelona
574818,Net,Women's Fashion,sitara_210-B
574819,Net,Women's Fashion,sitara_205-A
574820,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574821,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574822,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574823,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574824,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574825,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574826,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574827,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574828,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574829,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574830,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574831,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574832,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574833,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574834,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574835,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574836,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574837,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574838,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574839,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574840,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574841,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574842,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574843,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574844,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574845,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
