"Location_id","Place Name","City","County","State","Region","Zip"
1,Whitmer,Whitmer,Randolph,WV,South,26296
2,Burnt Corn,Burnt Corn,Monroe,AL,South,36431
3,Siler City,Siler City,Chatham,NC,South,27344
4,Tampa,Tampa,Hillsborough,FL,South,33635
5,Van Nuys,Van Nuys,Los Angeles,CA,West,91408
6,Oakland,Oakland,Alameda,CA,West,94643
7,Pilot Grove,Pilot Grove,Lee,IA,Midwest,52648
8,Acme,Acme,Concordia,LA,South,71316
9,Dubuque,Dubuque,Dubuque,IA,Midwest,52099
10,Sundown,Sundown,Ulster,NY,Northeast,12782
11,Strongstown,Strongstown,Indiana,PA,Northeast,15957
12,Monroe City,Monroe City,Knox,IN,Midwest,47557
13,Canal Fulton,Canal Fulton,Stark,OH,Midwest,44614
14,Dos Palos,Dos Palos,Merced,CA,West,93620
15,Pueblo Of Acoma,Pueblo Of Acoma,Valencia,NM,West,87034
16,Richland,Richland,Navarro,TX,South,76681
17,Orange,Orange,Orange,TX,South,77630
18,Mount Eden,Mount Eden,Spencer,KY,South,40046
19,Redding,Redding,Fairfield,CT,Northeast,6896
20,Charlotte,Charlotte,Charlotte,NC,South,28263
21,Whitehall,Whitehall,Muskegon,MI,Midwest,49461
22,Republican Grove,Republican Grove,Halifax,VA,South,24585
23,Charlottesville,Charlottesville,Albemarle,VA,South,22901
24,Morganza,Morganza,Pointe Coupee,LA,South,70759
25,Lothian,Lothian,Anne Arundel,MD,South,20711
26,Conway,Conway,Horry,SC,South,29527
27,Echo Lake,Echo Lake,El Dorado,CA,West,95721
28,Ponca City,Ponca City,Kay,OK,South,74604
29,New York City,New York City,New York,NY,Northeast,10081
30,Arlington,Arlington,Tarrant,TX,South,76005
31,California,California,St. Mary's,MD,South,20619
32,Orange,Orange,Orange,CA,West,92857
33,Austin,Austin,Travis,TX,South,78787
34,Irwinville,Irwinville,Irwin,GA,South,31760
35,Belleville,Belleville,Republic,KS,Midwest,66935
36,Charlotte,Charlotte,Mecklenburg,NC,South,28222
37,Palm Coast,Palm Coast,Flagler,FL,South,32135
38,Wright City,Wright City,McCurtain,OK,South,74766
39,Tucson,Tucson,Pima,AZ,West,85716
40,Middleport,Middleport,Schuylkill,PA,Northeast,17953
41,Rock Port,Rock Port,Atchison,MO,Midwest,64482
42,Pacolet Mills,Pacolet Mills,Spartanburg,SC,South,29373
43,Hesperia,Hesperia,San Bernardino,CA,West,92345
44,Garden City,Garden City,Hardin,IA,Midwest,50102
45,Littlerock,Littlerock,Los Angeles,CA,West,93543
46,Monticello,Monticello,Fairfield,SC,South,29106
47,Cincinnati,Cincinnati,Hamilton,OH,Midwest,45228
48,Clyde,Clyde,Nodaway,MO,Midwest,64432
49,South Sioux City,South Sioux City,Dakota,NE,Midwest,68776
50,Knightsville,Knightsville,Clay,IN,Midwest,47857
51,Ravine,Ravine,Schuylkill,PA,Northeast,17966
52,Fairgrove,Fairgrove,Tuscola,MI,Midwest,48733
53,Hartford,Hartford,Hartford,CT,Northeast,6141
54,Biloxi,Biloxi,Harrison,MS,South,39530
55,Bens Run,Bens Run,Tyler,WV,South,26135
56,Oklahoma City,Oklahoma City,Oklahoma,OK,South,73147
57,Palermo,Palermo,Mountrail,ND,Midwest,58769
58,Mountain View,Mountain View,Uinta,WY,West,82939
59,Lubbock,Lubbock,Lubbock,TX,South,79413
60,Oak Ridge,Oak Ridge,Anderson,TN,South,37830
61,Brockway,Brockway,McCone,MT,West,59214
62,Opal,Opal,Meade,SD,Midwest,57765
63,Washington,Washington,District of Columbia,DC,South,20070
64,Orange,Orange,Orange,CA,West,92666
65,Hinton,Hinton,Caddo,OK,South,73047
66,Scotland Neck,Scotland Neck,Halifax,NC,South,27874
67,Weatherford,Weatherford,Parker,TX,South,76085
68,West Augusta,West Augusta,Augusta,VA,South,24485
69,Mechanic Falls,Mechanic Falls,Androscoggin,ME,Northeast,4256
70,Mayville,Mayville,Traill,ND,Midwest,58257
71,Pearl,Pearl,Rankin,MS,South,39288
72,Orchard,Orchard,Antelope,NE,Midwest,68764
73,Alamance,Alamance,Alamance,NC,South,27201
74,Cayuga,Cayuga,Anderson,TX,South,75832
75,Keiser,Keiser,Mississippi,AR,South,72351
76,Greenbelt,Greenbelt,Prince George's,MD,South,20770
77,Williamsburg,Williamsburg,Greenbrier,WV,South,24991
78,Smith Lake,Smith Lake,McKinley,NM,West,87365
79,Liscomb,Liscomb,Marshall,IA,Midwest,50148
80,Sykesville,Sykesville,Jefferson,PA,Northeast,15865
81,Charlotte,Charlotte,Mecklenburg,NC,South,28227
82,Morrisville,Morrisville,Lamoille,VT,Northeast,5661
83,Ashtabula,Ashtabula,Ashtabula,OH,Midwest,44005
84,San Francisco,San Francisco,San Francisco,CA,West,94126
85,Pierce,Pierce,Wharton,TX,South,77467
86,Deltona,Deltona,Volusia,FL,South,32728
87,New York City,New York City,New York,NY,Northeast,10012
88,Billings,Billings,Yellowstone,MT,West,59106
89,Houston,Houston,Harris,TX,South,77093
90,Rudd,Rudd,Floyd,IA,Midwest,50471
91,Greensboro,Greensboro,Guilford,NC,South,27405
92,Hastings,Hastings,Oswego,NY,Northeast,13076
93,Trenton,Trenton,Mercer,NJ,Northeast,8666
94,Hornbeck,Hornbeck,Vernon,LA,South,71439
95,Rociada,Rociada,San Miguel,NM,West,87742
96,Greensburg,Greensburg,Kiowa,KS,Midwest,67054
97,Niles,Niles,Cook,IL,Midwest,60714
98,Henderson Harbor,Henderson Harbor,Jefferson,NY,Northeast,13651
99,Boomer,Boomer,Fayette,WV,South,25031
100,Buffalo,Buffalo,Johnson,WY,West,82834
101,Dexter,Dexter,Dallas,IA,Midwest,50070
102,Bellflower,Bellflower,Los Angeles,CA,West,90706
103,Marshallville,Marshallville,Wayne,OH,Midwest,44645
104,Taneyville,Taneyville,Taney,MO,Midwest,65759
105,Lake Lynn,Lake Lynn,Fayette,PA,Northeast,15451
106,Lincoln Acres,Lincoln Acres,San Diego,CA,West,91947
107,Richfield,Richfield,Washington,WI,Midwest,53076
108,Belgrade Lakes,Belgrade Lakes,Kennebec,ME,Northeast,4918
109,Oriskany,Oriskany,Oneida,NY,Northeast,13424
110,Corpus Christi,Corpus Christi,Nueces,TX,South,78469
111,Shippingport,Shippingport,Beaver,PA,Northeast,15077
112,Chickasha,Chickasha,Grady,OK,South,73023
113,Lequire,Lequire,Haskell,OK,South,74943
114,Mancelona,Mancelona,Antrim,MI,Midwest,49659
115,Iberia,Iberia,Miller,MO,Midwest,65486
116,Springfield,Springfield,Greene,MO,Midwest,65809
117,Waterbury,Waterbury,New Haven,CT,Northeast,6702
118,National City,National City,National City,CA,West,92180
119,Morgantown,Morgantown,Brown,IN,Midwest,46160
120,Rockville,Rockville,Washington,RI,Northeast,2873
121,San Diego,San Diego,San Diego,CA,West,92163
122,Taftsville,Taftsville,Windsor,VT,Northeast,5073
123,Azusa,Azusa,Los Angeles,CA,West,91702
124,Sparta,Sparta,Sussex,NJ,Northeast,7871
125,Crawford,Crawford,Dawes,NE,Midwest,69339
126,Reynolds,Reynolds,Taylor,GA,South,31076
127,Milton,Milton,Rock,WI,Midwest,53563
128,Aurora,Aurora,Arapahoe,CO,West,80044
129,Utica,Utica,Macomb,MI,Midwest,48315
130,Williston,Williston,Williams,ND,Midwest,58801
131,Bardwell,Bardwell,Carlisle,KY,South,42023
132,Larkspur,Larkspur,Marin,CA,West,94939
133,Paterson,Paterson,Passaic,NJ,Northeast,7543
134,Burlington Flats,Burlington Flats,Otsego,NY,Northeast,13315
135,Colorado Springs,Colorado Springs,El Paso,CO,West,80919
136,Pequannock,Pequannock,Morris,NJ,Northeast,7440
137,Casa Grande,Casa Grande,Casa Grande,AZ,West,85193
138,Monroeville,Monroeville,Allen,IN,Midwest,46773
139,Weldona,Weldona,Morgan,CO,West,80653
140,Point Arena,Point Arena,Mendocino,CA,West,95468
141,Stratford,Stratford,Brown,SD,Midwest,57474
142,Pleasanton,Pleasanton,Linn,KS,Midwest,66075
143,Inwood,Inwood,Lyon,IA,Midwest,51240
144,Weatherby,Weatherby,DeKalb,MO,Midwest,64497
145,Harper,Harper,Gillespie,TX,South,78631
146,Rome,Rome,Ashtabula,OH,Midwest,44085
147,Walworth,Walworth,Walworth,WI,Midwest,53184
148,Federal Way,Federal Way,King,WA,West,98003
149,Cedar Rapids,Cedar Rapids,Linn,IA,Midwest,52406
150,Redding,Redding,Shasta,CA,West,96003
151,Myrtle Point,Myrtle Point,Coos,OR,West,97458
152,Memphis,Memphis,Shelby,TN,South,38175
153,Bay City,Bay City,Bay,MI,Midwest,48708
154,Whitsett,Whitsett,Guilford,NC,South,27377
155,Centerville,Centerville,Turner,SD,Midwest,57014
156,Honolulu,Honolulu,Honolulu,HI,West,96828
157,Columbia,Columbia,Boone,MO,Midwest,65211
158,Rochester,Rochester,Thurston,WA,West,98579
159,De Queen,De Queen,Sevier,AR,South,71832
160,Orchard,Orchard,Mitchell,IA,Midwest,50460
161,Sheridan,Sheridan,Montcalm,MI,Midwest,48884
162,Winesburg,Winesburg,Holmes,OH,Midwest,44690
163,Erie,Erie,Erie,PA,Northeast,16511
164,Donald,Donald,Marion,OR,West,97020
165,Malden,Malden,Bureau,IL,Midwest,61337
166,Augusta,Augusta,Richmond,GA,South,30901
167,Lynchburg,Lynchburg,Lynchburg (city),VA,South,24514
168,Hoyt Lakes,Hoyt Lakes,St. Louis,MN,Midwest,55750
169,Greensboro,Greensboro,Guilford,NC,South,27435
170,Buffalo,Buffalo,Wright,MN,Midwest,55313
171,Harvey,Harvey,Scott,AR,South,72841
172,Hamilton,Hamilton,Pembina,ND,Midwest,58238
173,Seattle,Seattle,King,WA,West,98166
174,Houston,Houston,Harris,TX,South,77059
175,Champaign,Champaign,Champaign,IL,Midwest,61825
176,Fulton,Fulton,Howard,MD,South,20759
177,Charlotte,Charlotte,Mecklenburg,NC,South,28261
178,Westfield,Westfield,Clark,IL,Midwest,62474
179,Salt Lake City,Salt Lake City,Salt Lake,UT,West,84150
180,Beechwood,Beechwood,Beechwood,MI,Midwest,49909
181,Pittsburg,Pittsburg,Hickory,MO,Midwest,65724
182,Limaville,Limaville,Stark,OH,Midwest,44640
183,Colbert,Colbert,Bryan,OK,South,74733
184,Altoona,Altoona,Blair,PA,Northeast,16602
185,New Wilmington,New Wilmington,Lawrence,PA,Northeast,16142
186,Wilkes Barre,Wilkes Barre,Luzerne,PA,Northeast,18764
187,New Haven,New Haven,New Haven,CT,Northeast,6520
188,Columbus,Columbus,Franklin,OH,Midwest,43235
189,White Lake,White Lake,Sullivan,NY,Northeast,12786
190,Cedar Creek,Cedar Creek,Cass,NE,Midwest,68016
191,Tawas City,Tawas City,Iosco,MI,Midwest,48764
192,Youngsville,Youngsville,Sullivan,NY,Northeast,12791
193,Rolla,Rolla,Rolette,ND,Midwest,58367
194,Newton Falls,Newton Falls,Trumbull,OH,Midwest,44444
195,Jackson,Jackson,Hinds,MS,South,39282
196,Colorado Springs,Colorado Springs,El Paso,CO,West,80945
197,Tunas,Tunas,Dallas,MO,Midwest,65764
198,Wilton,Wilton,Muscatine,IA,Midwest,52778
199,Klamath Falls,Klamath Falls,Klamath,OR,West,97601
200,Elgin,Elgin,Kane,IL,Midwest,60122
201,East Berlin,East Berlin,Adams,PA,Northeast,17316
202,Romance,Romance,White,AR,South,72136
203,Fort Smith,Fort Smith,Sebastian,AR,South,72916
204,Nitta Yuma,Nitta Yuma,Sharkey,MS,South,38763
205,Wagoner,Wagoner,Wagoner,OK,South,74477
206,Washington,Washington,District of Columbia,DC,South,20029
207,Houston,Houston,Houston,MN,Midwest,55943
208,Miles,Miles,Jackson,IA,Midwest,52064
209,Selawik,Selawik,Northwest Arctic,AK,West,99770
210,Camden,Camden,Lewis,WV,South,26338
211,Defiance,Defiance,Bedford,PA,Northeast,16633
212,Valley Head,Valley Head,Randolph,WV,South,26294
