"date_key","order_date","day_of_week","month","quarter","year"
1,2020-10-01,4,10,4,2020
2,2020-10-02,5,10,4,2020
3,2020-10-03,6,10,4,2020
4,2020-10-04,7,10,4,2020
5,2020-10-05,1,10,4,2020
6,2020-10-06,2,10,4,2020
7,2020-10-07,3,10,4,2020
8,2020-10-08,4,10,4,2020
9,2020-10-09,5,10,4,2020
10,2020-10-10,6,10,4,2020
11,2020-10-11,7,10,4,2020
12,2020-10-12,1,10,4,2020
13,2020-10-13,2,10,4,2020
14,2020-10-14,3,10,4,2020
15,2020-10-15,4,10,4,2020
16,2020-10-16,5,10,4,2020
17,2020-10-17,6,10,4,2020
18,2020-10-18,7,10,4,2020
19,2020-10-19,1,10,4,2020
20,2020-10-20,2,10,4,2020
21,2020-10-21,3,10,4,2020
22,2020-10-22,4,10,4,2020
23,2020-10-23,5,10,4,2020
24,2020-10-24,6,10,4,2020
25,2020-10-25,7,10,4,2020
26,2020-10-26,1,10,4,2020
27,2020-10-27,2,10,4,2020
28,2020-10-28,3,10,4,2020
29,2020-10-29,4,10,4,2020
30,2020-10-30,5,10,4,2020
31,2020-10-31,6,10,4,2020
32,2020-11-01,7,11,4,2020
33,2020-11-02,1,11,4,2020
34,2020-11-03,2,11,4,2020
35,2020-11-04,3,11,4,2020
36,2020-11-05,4,11,4,2020
37,2020-11-06,5,11,4,2020
38,2020-11-07,6,11,4,2020
39,2020-11-08,7,11,4,2020
40,2020-11-09,1,11,4,2020
41,2020-11-10,2,11,4,2020
42,2020-11-11,3,11,4,2020
43,2020-11-12,4,11,4,2020
44,2020-11-13,5,11,4,2020
45,2020-11-14,6,11,4,2020
46,2020-11-15,7,11,4,2020
47,2020-11-16,1,11,4,2020
48,2020-11-17,2,11,4,2020
49,2020-11-18,3,11,4,2020
50,2020-11-19,4,11,4,2020
51,2020-11-20,5,11,4,2020
52,2020-11-21,6,11,4,2020
53,2020-11-22,7,11,4,2020
54,2020-11-23,1,11,4,2020
55,2020-11-24,2,11,4,2020
56,2020-11-25,3,11,4,2020
57,2020-11-26,4,11,4,2020
58,2020-11-27,5,11,4,2020
59,2020-11-28,6,11,4,2020
60,2020-11-29,7,11,4,2020
61,2020-11-30,1,11,4,2020
62,2020-12-01,2,12,4,2020
63,2020-12-02,3,12,4,2020
64,2020-12-03,4,12,4,2020
65,2020-12-04,5,12,4,2020
66,2020-12-05,6,12,4,2020
67,2020-12-06,7,12,4,2020
68,2020-12-07,1,12,4,2020
69,2020-12-08,2,12,4,2020
70,2020-12-09,3,12,4,2020
71,2020-12-10,4,12,4,2020
72,2020-12-11,5,12,4,2020
73,2020-12-12,6,12,4,2020
74,2020-12-13,7,12,4,2020
75,2020-12-14,1,12,4,2020
76,2020-12-15,2,12,4,2020
77,2020-12-16,3,12,4,2020
78,2020-12-17,4,12,4,2020
79,2020-12-18,5,12,4,2020
80,2020-12-19,6,12,4,2020
81,2020-12-20,7,12,4,2020
82,2020-12-21,1,12,4,2020
83,2020-12-22,2,12,4,2020
84,2020-12-23,3,12,4,2020
85,2020-12-24,4,12,4,2020
86,2020-12-25,5,12,4,2020
87,2020-12-26,6,12,4,2020
88,2020-12-27,7,12,4,2020
89,2020-12-28,1,12,4,2020
90,2020-12-29,2,12,4,2020
91,2020-12-30,3,12,4,2020
92,2020-12-31,4,12,4,2020
93,2021-01-01,5,1,1,2021
94,2021-01-02,6,1,1,2021
95,2021-01-03,7,1,1,2021
96,2021-01-04,1,1,1,2021
97,2021-01-05,2,1,1,2021
98,2021-01-06,3,1,1,2021
99,2021-01-07,4,1,1,2021
100,2021-01-08,5,1,1,2021
101,2021-01-09,6,1,1,2021
102,2021-01-10,7,1,1,2021
103,2021-01-11,1,1,1,2021
104,2021-01-12,2,1,1,2021
105,2021-01-13,3,1,1,2021
106,2021-01-14,4,1,1,2021
107,2021-01-15,5,1,1,2021
108,2021-01-16,6,1,1,2021
109,2021-01-17,7,1,1,2021
110,2021-01-18,1,1,1,2021
111,2021-01-19,2,1,1,2021
112,2021-01-20,3,1,1,2021
113,2021-01-21,4,1,1,2021
114,2021-01-22,5,1,1,2021
115,2021-01-23,6,1,1,2021
116,2021-01-24,7,1,1,2021
117,2021-01-25,1,1,1,2021
118,2021-01-26,2,1,1,2021
119,2021-01-27,3,1,1,2021
120,2021-01-28,4,1,1,2021
121,2021-01-29,5,1,1,2021
122,2021-01-30,6,1,1,2021
123,2021-01-31,7,1,1,2021
124,2021-02-01,1,2,1,2021
125,2021-02-02,2,2,1,2021
126,2021-02-03,3,2,1,2021
127,2021-02-04,4,2,1,2021
128,2021-02-05,5,2,1,2021
129,2021-02-06,6,2,1,2021
130,2021-02-07,7,2,1,2021
131,2021-02-08,1,2,1,2021
132,2021-02-09,2,2,1,2021
133,2021-02-10,3,2,1,2021
134,2021-02-11,4,2,1,2021
135,2021-02-12,5,2,1,2021
136,2021-02-13,6,2,1,2021
137,2021-02-14,7,2,1,2021
138,2021-02-15,1,2,1,2021
139,2021-02-16,2,2,1,2021
140,2021-02-17,3,2,1,2021
141,2021-02-18,4,2,1,2021
142,2021-02-19,5,2,1,2021
143,2021-02-20,6,2,1,2021
144,2021-02-21,7,2,1,2021
145,2021-02-22,1,2,1,2021
146,2021-02-23,2,2,1,2021
147,2021-02-24,3,2,1,2021
148,2021-02-25,4,2,1,2021
149,2021-02-26,5,2,1,2021
150,2021-02-27,6,2,1,2021
151,2021-02-28,7,2,1,2021
152,2021-03-01,1,3,1,2021
153,2021-03-02,2,3,1,2021
154,2021-03-03,3,3,1,2021
155,2021-03-04,4,3,1,2021
156,2021-03-05,5,3,1,2021
157,2021-03-06,6,3,1,2021
158,2021-03-07,7,3,1,2021
159,2021-03-08,1,3,1,2021
160,2021-03-09,2,3,1,2021
161,2021-03-10,3,3,1,2021
162,2021-03-11,4,3,1,2021
163,2021-03-12,5,3,1,2021
164,2021-03-13,6,3,1,2021
165,2021-03-14,7,3,1,2021
166,2021-03-15,1,3,1,2021
167,2021-03-16,2,3,1,2021
168,2021-03-17,3,3,1,2021
169,2021-03-18,4,3,1,2021
170,2021-03-19,5,3,1,2021
171,2021-03-20,6,3,1,2021
172,2021-03-21,7,3,1,2021
173,2021-03-22,1,3,1,2021
174,2021-03-23,2,3,1,2021
175,2021-03-24,3,3,1,2021
176,2021-03-25,4,3,1,2021
177,2021-03-26,5,3,1,2021
178,2021-03-27,6,3,1,2021
179,2021-03-28,7,3,1,2021
180,2021-03-29,1,3,1,2021
181,2021-03-30,2,3,1,2021
182,2021-03-31,3,3,1,2021
